ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,reaction_time.rt,vividness.response,vividness.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,12.8361644159,,,,,,,,,,,,,,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
,,,,,,,,,,,,,,,,,,,,,space,33.4904853211,,,,,,,,,,,,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
,,,,,,,,,,,,,,,,,,,,,,,space,28.7595262452,,,,,,,,,,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
,,,,,,,,,,,,,,,,,,,,,,,,,7,18.213,,,,,,,,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.60019071517,,,,,,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
pratique/fcloud65-35_D1.6_30,1.6,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,2,space,2.64927492267,2,7.628,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
pratique/fcloud_D0.8_30,0.8,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,1,space,5.23523859947,1,2.234,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
pratique/fcloud_D1.4_30,1.4,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,2,space,2.99342469836,1,1.885,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
pratique/fcloud65-35_D1.2_30,1.2,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,12.091,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
pratique/fcloud80-20_D1.8_30,1.8,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,22.599,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,65.711314392,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
images/fcloud65-35_D1.4_3.tif,1.4,1,,,,,0,0,0,56,,,,,,,,,,,,,,,,,,,1,space,3.79775974003,3,2.784,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
images/fcloud_D1.4_3.tif,1.4,0,,,,,0,1,1,20,,,,,,,,,,,,,,,,,,,1,space,3.34844060848,2,4.649,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
images/fcloud_D1.4_1.tif,1.4,0,,,,,0,2,2,18,,,,,,,,,,,,,,,,,,,2,space,4.27943978086,2,1.635,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
images/fcloud_D1.5_3.tif,1.5,0,,,,,0,3,3,23,,,,,,,,,,,,,,,,,,,None,None,,None,11.026,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
images/fcloud80-20_D0.8_2.tif,0.8,2,,,,,0,4,4,73,,,,,,,,,,,,,,,,,,,1,space,4.36066128267,5,4.815,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
images/fcloud80-20_D1.3_1.tif,1.3,2,,,,,0,5,5,87,,,,,,,,,,,,,,,,,,,None,None,,None,14.156,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
images/fcloud80-20_D1.6_3.tif,1.6,2,,,,,0,6,6,98,,,,,,,,,,,,,,,,,,,1,space,4.83535631851,2,1.001,,,,,2019_Jan_09_1622,60.03913493842969,Cloud_Experiment_FR,001,01,
