ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,key_resp_2.keys,key_resp_2.rt,reaction_time.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,16.5495773178,,,,,,,,,,,,,,,,,,2019_Jan_14_1608,59.47447750045573,Cloud_Experiment_FR_REAL,001,03,
,,,,,,,,,,,,,,,,,,,,,space,170.120305966,,,,,,,,,,,,,,,,2019_Jan_14_1608,59.47447750045573,Cloud_Experiment_FR_REAL,001,03,
,,,,,,,,,,,,,,,,,,,,,,,space,11.6579386886,,,,,,,,,,,,,,2019_Jan_14_1608,59.47447750045573,Cloud_Experiment_FR_REAL,001,03,
,,,,,,,,,,,,,,,,,,,,,,,,,9,16.733,,,,,,,,,,,,2019_Jan_14_1608,59.47447750045573,Cloud_Experiment_FR_REAL,001,03,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.06606230867,,,,,,,,,,2019_Jan_14_1608,59.47447750045573,Cloud_Experiment_FR_REAL,001,03,
pratique/fcloud_D1.4_30,1.4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,None,None,None,243.215,,,,,,2019_Jan_14_1608,59.47447750045573,Cloud_Experiment_FR_REAL,001,03,
pratique/fcloud_D0.8_30,0.8,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,1,None,2,6.347,,,,,,2019_Jan_14_1608,59.47447750045573,Cloud_Experiment_FR_REAL,001,03,
pratique/fcloud65-35_D1.2_30,1.2,1,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,None,None,None,16.371,,,,,,2019_Jan_14_1608,59.47447750045573,Cloud_Experiment_FR_REAL,001,03,
pratique/fcloud65-35_D1.6_30,1.6,1,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,None,None,None,25.646,,,,,,2019_Jan_14_1608,59.47447750045573,Cloud_Experiment_FR_REAL,001,03,
pratique/fcloud80-20_D1.8_30,1.8,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,None,None,None,47.793,,,,,,2019_Jan_14_1608,59.47447750045573,Cloud_Experiment_FR_REAL,001,03,
