ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,10.6062889558,,,,,,,,,,,,,,,,,,2019_Jan_15_1804,60.66010582633617,Cloud_Experiment_FR_REAL,001,04,
,,,,,,,,,,,,,,,,,,,,,space,131.018406274,,,,,,,,,,,,,,,,2019_Jan_15_1804,60.66010582633617,Cloud_Experiment_FR_REAL,001,04,
,,,,,,,,,,,,,,,,,,,,,,,space,12.3584170173,,,,,,,,,,,,,,2019_Jan_15_1804,60.66010582633617,Cloud_Experiment_FR_REAL,001,04,
,,,,,,,,,,,,,,,,,,,,,,,,,8,12.402,,,,,,,,,,,,2019_Jan_15_1804,60.66010582633617,Cloud_Experiment_FR_REAL,001,04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,85.6796595924,,,,,,,,,,2019_Jan_15_1804,60.66010582633617,Cloud_Experiment_FR_REAL,001,04,
pratique/fcloud_D1.4_30,1.4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,None,None,None,277.204,,,,,,2019_Jan_15_1804,60.66010582633617,Cloud_Experiment_FR_REAL,001,04,
pratique/fcloud65-35_D1.2_30,1.2,1,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,1,None,2,11.976,,,,,,2019_Jan_15_1804,60.66010582633617,Cloud_Experiment_FR_REAL,001,04,
pratique/fcloud80-20_D1.8_30,1.8,2,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,1,space,4,2.383,5.94336701251,,,,,2019_Jan_15_1804,60.66010582633617,Cloud_Experiment_FR_REAL,001,04,
pratique/fcloud_D0.8_30,0.8,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,1,space,5,2.182,6.51544865486,,,,,2019_Jan_15_1804,60.66010582633617,Cloud_Experiment_FR_REAL,001,04,
pratique/fcloud65-35_D1.6_30,1.6,1,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,2,space,2,4.348,6.12802553829,,,,,2019_Jan_15_1804,60.66010582633617,Cloud_Experiment_FR_REAL,001,04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,115.649021881,,,2019_Jan_15_1804,60.66010582633617,Cloud_Experiment_FR_REAL,001,04,
images/fcloud80-20_D0.8_1.tif,0.8,2,,,,,0,0,0,72,,,,,,,,,,,,,,,,,,,1,None,2,3.634,,,,,,2019_Jan_15_1804,60.66010582633617,Cloud_Experiment_FR_REAL,001,04,
images/fcloud80-20_D1.4_1.tif,1.4,2,,,,,0,1,1,90,,,,,,,,,,,,,,,,,,,2,space,2,3.216,8.00130621518,,,,,2019_Jan_15_1804,60.66010582633617,Cloud_Experiment_FR_REAL,001,04,
images/fcloud80-20_D1.9_1.tif,1.9,2,,,,,0,2,2,105,,,,,,,,,,,,,,,,,,,None,None,None,14.356,,,,,,2019_Jan_15_1804,60.66010582633617,Cloud_Experiment_FR_REAL,001,04,
images/fcloud80-20_D0.9_2.tif,0.9,2,,,,,0,3,3,76,,,,,,,,,,,,,,,,,,,1,None,3,1.568,,,,,,2019_Jan_15_1804,60.66010582633617,Cloud_Experiment_FR_REAL,001,04,
