ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,reaction_time.rt,vividness.response,vividness.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,39.3751193895,,,,,,,,,,,,,,,,,,2019_Jan_19_1401,59.611134610797755,Cloud_Experiment_FR_REAL,001,06,
,,,,,,,,,,,,,,,,,,,,,space,221.724528791,,,,,,,,,,,,,,,,2019_Jan_19_1401,59.611134610797755,Cloud_Experiment_FR_REAL,001,06,
,,,,,,,,,,,,,,,,,,,,,,,space,121.111955705,,,,,,,,,,,,,,2019_Jan_19_1401,59.611134610797755,Cloud_Experiment_FR_REAL,001,06,
,,,,,,,,,,,,,,,,,,,,,,,,,8,17.966,,,,,,,,,,,,2019_Jan_19_1401,59.611134610797755,Cloud_Experiment_FR_REAL,001,06,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,72.1551944827,,,,,,,,,,2019_Jan_19_1401,59.611134610797755,Cloud_Experiment_FR_REAL,001,06,
pratique/fcloud_D1.4_30,1.4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,1,space,6.28377475307,2,16.205,,,,,2019_Jan_19_1401,59.611134610797755,Cloud_Experiment_FR_REAL,001,06,
pratique/fcloud65-35_D1.6_30,1.6,1,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,1,None,,2,28.929,,,,,2019_Jan_19_1401,59.611134610797755,Cloud_Experiment_FR_REAL,001,06,
pratique/fcloud65-35_D1.2_30,1.2,1,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,39.416,,,,,2019_Jan_19_1401,59.611134610797755,Cloud_Experiment_FR_REAL,001,06,
pratique/fcloud80-20_D1.8_30,1.8,2,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,1,None,,1,1.785,,,,,2019_Jan_19_1401,59.611134610797755,Cloud_Experiment_FR_REAL,001,06,
pratique/fcloud_D0.8_30,0.8,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,2,space,3.22454986701,3,13.108,,,,,2019_Jan_19_1401,59.611134610797755,Cloud_Experiment_FR_REAL,001,06,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,55.969273341,,,2019_Jan_19_1401,59.611134610797755,Cloud_Experiment_FR_REAL,001,06,
images/fcloud_D0.9_1.tif,0.9,0,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,3,None,,2,5.565,,,,,2019_Jan_19_1401,59.611134610797755,Cloud_Experiment_FR_REAL,001,06,
