ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,Flow01.response,Flow01.rt,Flow02.response,Flow02.rt,Flow03.response,Flow03.rt,Flow04.response,Flow04.rt,Flow05.response,Flow05.rt,Flow06.response,Flow06.rt,Flow07.response,Flow07.rt,Flow08.response,Flow08.rt,Flow09.response,Flow09.rt,Flow10.response,Flow10.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,8.74789057192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
,,,,,,,,,,,,,,,,,,,,,space,71.2228416595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
,,,,,,,,,,,,,,,,,,,,,,,space,145.442590245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
,,,,,,,,,,,,,,,,,,,,,,,,,7,27.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,16.3044690985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
pratique/fcloud80-20_D1.5_30,1.5,2,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,1,None,1,20.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
pratique/fcloud_D1.6_28,1.6,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,2,None,1,10.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
pratique/fcloud65-35_D1.3_30,1.3,1,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,None,None,None,26.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
pratique/fcloud65-35_D1.2_30,1.2,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,1,space,1,3.417,4.15787374173,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
pratique/fcloud65-35_D1.9_29,1.9,1,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,None,None,None,25.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
pratique/fcloud65-35_D1.6_30,1.6,1,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,None,None,None,38.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
pratique/fcloud_D0.8_30,0.8,0,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,None,None,None,49.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
pratique/fcloud_D1.4_30,1.4,0,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,1,space,2,1.702,5.09453024037,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
pratique/fcloud80-20_D1_30,1.0,2,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,2,space,4,4.249,3.82279416075,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
pratique/fcloud80-20_D1.8_30,1.8,2,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,None,None,None,13.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,52.3884879253,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D0.8_1.tif,0.8,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,space,1,2.451,3.73267914591,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D1.6_2.tif,1.6,0,,,,,0,1,1,25,,,,,,,,,,,,,,,,,,,None,None,None,11.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D1.7_1.tif,1.7,0,,,,,0,2,2,27,,,,,,,,,,,,,,,,,,,None,None,None,21.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D0.9_2.tif,0.9,2,,,,,0,3,3,76,,,,,,,,,,,,,,,,,,,None,None,None,31.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D1.2_1.tif,1.2,2,,,,,0,4,4,84,,,,,,,,,,,,,,,,,,,None,None,None,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud_D1.2_3.tif,1.2,0,,,,,0,5,5,14,,,,,,,,,,,,,,,,,,,1,None,3,1.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.4_3.tif,1.4,1,,,,,0,6,6,56,,,,,,,,,,,,,,,,,,,None,None,None,12.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.1_1.tif,1.1,1,,,,,0,7,7,45,,,,,,,,,,,,,,,,,,,None,None,None,23.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D1.8_1.tif,1.8,2,,,,,0,8,8,102,,,,,,,,,,,,,,,,,,,None,None,None,33.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D1.6_3.tif,1.6,2,,,,,0,9,9,98,,,,,,,,,,,,,,,,,,,None,None,None,42.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.3_2.tif,1.3,1,,,,,0,10,10,52,,,,,,,,,,,,,,,,,,,1,None,1,2.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.2_1.tif,1.2,1,,,,,0,11,11,48,,,,,,,,,,,,,,,,,,,None,None,None,12.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D0.8_2.tif,0.8,1,,,,,0,12,12,37,,,,,,,,,,,,,,,,,,,None,None,None,21.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.5_2.tif,1.5,1,,,,,0,13,13,58,,,,,,,,,,,,,,,,,,,None,None,None,30.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D1.3_2.tif,1.3,2,,,,,0,14,14,88,,,,,,,,,,,,,,,,,,,None,None,None,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D1.8_2.tif,1.8,2,,,,,0,15,15,103,,,,,,,,,,,,,,,,,,,None,None,None,49.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud80-20_D1.6_1.tif,1.6,2,,,,,0,16,16,96,,,,,,,,,,,,,,,,,,,1,space,3,2.367,4.99892973577,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
images/fcloud65-35_D1.2_3.tif,1.2,1,,,,,0,17,17,50,,,,,,,,,,,,,,,,,,,1,None,1,1.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_23_1734,60.079681522149386,Cloud_Experiment_FR_REAL,001,10,
