ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,41.9878852401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_28_1749,59.77338929426755,Cloud_Experiment_FR_REAL,001,12,
,,,,,,,,,,,,,,,,,,,,,space,180.943228159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_28_1749,59.77338929426755,Cloud_Experiment_FR_REAL,001,12,
,,,,,,,,,,,,,,,,,,,,,,,space,2.44789501739,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_28_1749,59.77338929426755,Cloud_Experiment_FR_REAL,001,12,
,,,,,,,,,,,,,,,,,,,,,,,,,7,48.808,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_28_1749,59.77338929426755,Cloud_Experiment_FR_REAL,001,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.0764941169,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_28_1749,59.77338929426755,Cloud_Experiment_FR_REAL,001,12,
pratique/fcloud65-35_D1.6_30,1.6,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,None,None,None,302.333,,,,,,,,,,,,,,,,,,,2019_Jan_28_1749,59.77338929426755,Cloud_Experiment_FR_REAL,001,12,
pratique/fcloud65-35_D1.2_30,1.2,1,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,1,space,3,6.663,6.29048744339,,,,,,,,,,,,,,,,,,2019_Jan_28_1749,59.77338929426755,Cloud_Experiment_FR_REAL,001,12,
pratique/fcloud80-20_D1.8_30,1.8,2,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,None,None,None,18.251,,,,,,,,,,,,,,,,,,,2019_Jan_28_1749,59.77338929426755,Cloud_Experiment_FR_REAL,001,12,
pratique/fcloud65-35_D1.3_30,1.3,1,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,1,None,2,8.18,,,,,,,,,,,,,,,,,,,2019_Jan_28_1749,59.77338929426755,Cloud_Experiment_FR_REAL,001,12,
pratique/fcloud65-35_D1.9_29,1.9,1,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,None,None,None,23.58,,,,,,,,,,,,,,,,,,,2019_Jan_28_1749,59.77338929426755,Cloud_Experiment_FR_REAL,001,12,
pratique/fcloud_D0.8_30,0.8,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,2,space,4,2.783,6.21658262706,,,,,,,,,,,,,,,,,,2019_Jan_28_1749,59.77338929426755,Cloud_Experiment_FR_REAL,001,12,
pratique/fcloud_D1.6_28,1.6,0,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,1,None,3,5.014,,,,,,,,,,,,,,,,,,,2019_Jan_28_1749,59.77338929426755,Cloud_Experiment_FR_REAL,001,12,
pratique/fcloud_D1.4_30,1.4,0,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,1,space,3,16.84,2.19373231969,,,,,,,,,,,,,,,,,,2019_Jan_28_1749,59.77338929426755,Cloud_Experiment_FR_REAL,001,12,
pratique/fcloud80-20_D1_30,1.0,2,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,1,space,3,1.185,3.8745888194,,,,,,,,,,,,,,,,,,2019_Jan_28_1749,59.77338929426755,Cloud_Experiment_FR_REAL,001,12,
pratique/fcloud80-20_D1.5_30,1.5,2,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,1,space,4,2.367,2.09414834529,,,,,,,,,,,,,,,,,,2019_Jan_28_1749,59.77338929426755,Cloud_Experiment_FR_REAL,001,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,2019_Jan_28_1749,59.77338929426755,Cloud_Experiment_FR_REAL,001,12,
