ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,reaction_time.rt,vividness.response,vividness.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,18.6487207971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
,,,,,,,,,,,,,,,,,,,,,space,177.130541974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
,,,,,,,,,,,,,,,,,,,,,,,space,102.063650939,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
,,,,,,,,,,,,,,,,,,,,,,,,,5,14.267,,,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.11876494938,,,,,,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
pratique/fcloud_D1.6_28,1.6,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,1,space,5.30388014679,3,13.009,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
pratique/fcloud65-35_D1.9_29,1.9,1,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,22.982,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
pratique/fcloud65-35_D1.6_30,1.6,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,1,space,5.5589563222,4,10.877,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
pratique/fcloud65-35_D1.2_30,1.2,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,20.718,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
pratique/fcloud65-35_D1.3_30,1.3,1,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,1,space,6.56393495545,5,3.517,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
pratique/fcloud80-20_D1_30,1.0,2,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,27.462,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
pratique/fcloud80-20_D1.8_30,1.8,2,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,36.686,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
pratique/fcloud_D1.4_30,1.4,0,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,2,None,,2,5.082,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
pratique/fcloud_D0.8_30,0.8,0,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,14.341,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
pratique/fcloud80-20_D1.5_30,1.5,2,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,1,space,5.97451515513,3,2.3,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,27.6783730947,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.9_3.tif,1.9,2,,,,,0,0,0,107,,,,,,,,,,,,,,,,,,,1,None,,1,4.832,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.9_2.tif,1.9,1,,,,,0,1,1,70,,,,,,,,,,,,,,,,,,,1,None,,1,1.735,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.2_3.tif,1.2,1,,,,,0,2,2,50,,,,,,,,,,,,,,,,,,,None,None,,None,12.159,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.5_2.tif,1.5,0,,,,,0,3,3,22,,,,,,,,,,,,,,,,,,,None,None,,None,23.131,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.3_2.tif,1.3,2,,,,,0,4,4,88,,,,,,,,,,,,,,,,,,,None,None,,None,32.241,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.4_3.tif,1.4,0,,,,,0,5,5,20,,,,,,,,,,,,,,,,,,,1,None,,3,5.183,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D0.8_3.tif,0.8,1,,,,,0,6,6,38,,,,,,,,,,,,,,,,,,,2,None,,2,4.266,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.4_2.tif,1.4,1,,,,,0,7,7,55,,,,,,,,,,,,,,,,,,,2,space,4.15460905264,4,2.95,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.7_1.tif,1.7,1,,,,,0,8,8,63,,,,,,,,,,,,,,,,,,,1,None,,3,1.835,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1_1.tif,1.0,2,,,,,0,9,9,78,,,,,,,,,,,,,,,,,,,None,None,,None,11.259,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.4_2.tif,1.4,2,,,,,0,10,10,91,,,,,,,,,,,,,,,,,,,1,space,5.14620834799,2,1.202,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.3_3.tif,1.3,1,,,,,0,11,11,53,,,,,,,,,,,,,,,,,,,1,space,6.39973104585,3,1.335,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.6_2.tif,1.6,2,,,,,0,12,12,97,,,,,,,,,,,,,,,,,,,None,None,,None,10.559,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.5_3.tif,1.5,0,,,,,0,13,13,23,,,,,,,,,,,,,,,,,,,1,space,6.33435390602,1,1.484,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1_3.tif,1.0,2,,,,,0,14,14,80,,,,,,,,,,,,,,,,,,,1,None,,1,1.32,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.1_2.tif,1.1,2,,,,,0,15,15,82,,,,,,,,,,,,,,,,,,,None,None,,None,10.435,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.1_3.tif,1.1,1,,,,,0,16,16,47,,,,,,,,,,,,,,,,,,,None,None,,None,19.418,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1_2.tif,1.0,1,,,,,0,17,17,43,,,,,,,,,,,,,,,,,,,3,space,2.2577384719,5,7.247,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.5_1.tif,1.5,2,,,,,0,18,18,93,,,,,,,,,,,,,,,,,,,1,space,5.86577841203,5,1.669,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.9_1.tif,1.9,1,,,,,0,19,19,69,,,,,,,,,,,,,,,,,,,1,space,4.48209979577,3,4.748,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.1_2.tif,1.1,0,,,,,0,20,20,10,,,,,,,,,,,,,,,,,,,1,None,,1,1.267,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.7_3.tif,1.7,2,,,,,0,21,21,101,,,,,,,,,,,,,,,,,,,1,None,,2,1.403,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D0.9_1.tif,0.9,1,,,,,0,22,22,39,,,,,,,,,,,,,,,,,,,None,space,5.66264554855,None,11.625,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.5_3.tif,1.5,1,,,,,0,23,23,59,,,,,,,,,,,,,,,,,,,1,space,6.39347652538,2,1.052,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.1_2.tif,1.1,1,,,,,0,24,24,46,,,,,,,,,,,,,,,,,,,2,space,7.55809476419,2,2.117,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.3_3.tif,1.3,0,,,,,0,25,25,17,,,,,,,,,,,,,,,,,,,2,space,2.39332590692,2,3.633,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D0.8_2.tif,0.8,0,,,,,0,26,26,1,,,,,,,,,,,,,,,,,,,2,space,1.92172365065,3,2.634,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.1_3.tif,1.1,2,,,,,0,27,27,83,,,,,,,,,,,,,,,,,,,1,space,5.25006824094,1,1.002,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.5_2.tif,1.5,2,,,,,0,28,28,94,,,,,,,,,,,,,,,,,,,1,space,3.49961985552,2,0.819,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D0.9_1.tif,0.9,0,,,,,0,29,29,3,,,,,,,,,,,,,,,,,,,2,space,4.29005049574,1,1.218,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.8_3.tif,1.8,2,,,,,0,30,30,104,,,,,,,,,,,,,,,,,,,None,None,,None,10.942,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.4_3.tif,1.4,1,,,,,0,31,31,56,,,,,,,,,,,,,,,,,,,1,space,7.70211528943,2,0.936,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.8_3.tif,1.8,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,1,space,4.93917328471,3,1.085,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.7_3.tif,1.7,0,,,,,0,33,33,29,,,,,,,,,,,,,,,,,,,None,None,,None,10.294,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.5_3.tif,1.5,2,,,,,0,34,34,95,,,,,,,,,,,,,,,,,,,None,None,,None,19.635,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.3_3.tif,1.3,2,,,,,0,35,35,89,,,,,,,,,,,,,,,,,,,None,None,,None,28.212,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.2_3.tif,1.2,2,,,,,0,36,36,86,,,,,,,,,,,,,,,,,,,2,space,3.5027119029,3,1.185,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.8_2.tif,1.8,2,,,,,0,37,37,103,,,,,,,,,,,,,,,,,,,None,None,,None,15.571,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.2_3.tif,1.2,0,,,,,0,38,38,14,,,,,,,,,,,,,,,,,,,2,space,4.75521934003,2,2.018,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.7_3.tif,1.7,1,,,,,0,39,39,65,,,,,,,,,,,,,,,,,,,2,space,3.62030429035,3,2.036,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.6_2.tif,1.6,0,,,,,0,40,40,25,,,,,,,,,,,,,,,,,,,1,None,,1,1.87,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.4_3.tif,1.4,2,,,,,0,41,41,92,,,,,,,,,,,,,,,,,,,1,None,,1,0.769,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.6_2.tif,1.6,1,,,,,0,42,42,61,,,,,,,,,,,,,,,,,,,2,space,1.83192319181,2,1.052,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D0.8_1.tif,0.8,2,,,,,0,43,43,72,,,,,,,,,,,,,,,,,,,2,space,6.82536846254,2,1.202,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.6_1.tif,1.6,0,,,,,0,44,44,24,,,,,,,,,,,,,,,,,,,None,None,,None,11.259,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.3_1.tif,1.3,2,,,,,0,45,45,87,,,,,,,,,,,,,,,,,,,None,None,,None,20.467,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.1_3.tif,1.1,0,,,,,0,46,46,11,,,,,,,,,,,,,,,,,,,1,space,3.55914395268,3,1.369,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.8_2.tif,1.8,0,,,,,0,47,47,31,,,,,,,,,,,,,,,,,,,1,None,,2,1.385,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.4_1.tif,1.4,0,,,,,0,48,48,18,,,,,,,,,,,,,,,,,,,None,None,,None,11.178,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D0.8_2.tif,0.8,2,,,,,0,49,49,73,,,,,,,,,,,,,,,,,,,1,space,7.44708383689,3,2.233,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.8_1.tif,1.8,2,,,,,0,50,50,102,,,,,,,,,,,,,,,,,,,1,space,3.88664446288,2,1.452,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.8_3.tif,1.8,1,,,,,0,51,51,68,,,,,,,,,,,,,,,,,,,2,space,5.27259520703,3,1.952,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D0.9_3.tif,0.9,2,,,,,0,52,52,77,,,,,,,,,,,,,,,,,,,None,None,,None,11.725,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1_1.tif,1.0,1,,,,,0,53,53,42,,,,,,,,,,,,,,,,,,,2,space,2.55590437117,5,1.8,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.1_1.tif,1.1,0,,,,,0,54,54,9,,,,,,,,,,,,,,,,,,,1,None,,2,1.652,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1_2.tif,1.0,2,,,,,0,55,55,79,,,,,,,,,,,,,,,,,,,1,space,7.2020821328,3,2.203,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.2_1.tif,1.2,2,,,,,0,56,56,84,,,,,,,,,,,,,,,,,,,2,space,3.44798960374,3,3.134,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.9_2.tif,1.9,0,,,,,0,57,57,34,,,,,,,,,,,,,,,,,,,2,None,,2,1.802,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.7_1.tif,1.7,2,,,,,0,58,58,99,,,,,,,,,,,,,,,,,,,1,None,,1,1.419,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D0.9_3.tif,0.9,1,,,,,0,59,59,41,,,,,,,,,,,,,,,,,,,None,None,,None,10.76,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D0.8_3.tif,0.8,2,,,,,0,60,60,74,,,,,,,,,,,,,,,,,,,None,None,,None,22.799,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1_3.tif,1.0,0,,,,,0,61,61,8,,,,,,,,,,,,,,,,,,,1,space,6.39671045225,3,0.902,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.5_1.tif,1.5,1,,,,,0,62,62,57,,,,,,,,,,,,,,,,,,,1,space,2.67593852506,2,0.936,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.3_1.tif,1.3,1,,,,,0,63,63,51,,,,,,,,,,,,,,,,,,,2,space,5.17767526358,2,2.717,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.3_2.tif,1.3,1,,,,,0,64,64,52,,,,,,,,,,,,,,,,,,,1,space,6.92722250865,2,2.202,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.9_2.tif,1.9,2,,,,,0,65,65,106,,,,,,,,,,,,,,,,,,,1,space,5.63308115455,3,1.6,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.6_1.tif,1.6,1,,,,,0,66,66,60,,,,,,,,,,,,,,,,,,,1,None,,1,2.118,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D0.9_2.tif,0.9,2,,,,,0,67,67,76,,,,,,,,,,,,,,,,,,,None,None,,None,11.891,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.8_2.tif,1.8,1,,,,,0,68,68,67,,,,,,,,,,,,,,,,,,,3,space,5.42042643009,2,3.0,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.3_2.tif,1.3,0,,,,,0,69,69,16,,,,,,,,,,,,,,,,,,,2,space,4.02657464377,3,2.486,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.8_1.tif,1.8,0,,,,,0,70,70,30,,,,,,,,,,,,,,,,,,,1,None,,1,0.819,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.2_2.tif,1.2,1,,,,,0,71,71,49,,,,,,,,,,,,,,,,,,,1,None,,1,1.067,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D0.8_1.tif,0.8,1,,,,,0,72,72,36,,,,,,,,,,,,,,,,,,,1,None,,1,0.687,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.6_3.tif,1.6,2,,,,,0,73,73,98,,,,,,,,,,,,,,,,,,,2,space,5.50293757353,3,3.432,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D1.4_1.tif,1.4,2,,,,,0,74,74,90,,,,,,,,,,,,,,,,,,,None,None,,None,14.24,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.6_3.tif,1.6,1,,,,,0,75,75,62,,,,,,,,,,,,,,,,,,,2,space,3.68086472459,3,0.653,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.2_1.tif,1.2,1,,,,,0,76,76,48,,,,,,,,,,,,,,,,,,,2,space,2.00616044822,3,1.42,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.8_1.tif,1.8,1,,,,,0,77,77,66,,,,,,,,,,,,,,,,,,,None,None,,None,12.309,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud80-20_D0.9_1.tif,0.9,2,,,,,0,78,78,75,,,,,,,,,,,,,,,,,,,1,None,,2,2.32,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud65-35_D1.1_1.tif,1.1,1,,,,,0,79,79,45,,,,,,,,,,,,,,,,,,,1,space,7.06508669813,2,1.302,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
images/fcloud_D1.4_2.tif,1.4,0,,,,,0,80,80,19,,,,,,,,,,,,,,,,,,,2,space,2.96643470743,5,1.136,,,,,,,,,,,,,,,,,,2019_Jan_29_1744,60.29884196041611,Cloud_Experiment_FR_REAL,001,13,
