ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,16.745372072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
,,,,,,,,,,,,,,,,,,,,,space,179.83068037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
,,,,,,,,,,,,,,,,,,,,,,,space,47.759935311,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
,,,,,,,,,,,,,,,,,,,,,,,,,8,8.581,,,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.21430374301,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
pratique/fcloud_D1.6_28,1.6,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,None,None,None,268.73,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
pratique/fcloud65-35_D1.3_30,1.3,1,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,None,None,None,278.465,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
pratique/fcloud80-20_D1.5_30,1.5,2,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,1,space,1,2.768,10.9250766845,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
pratique/fcloud_D0.8_30,0.8,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,2,None,2,1.502,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
pratique/fcloud80-20_D1_30,1.0,2,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,None,None,None,11.007,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
pratique/fcloud80-20_D1.8_30,1.8,2,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,None,None,None,19.966,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
pratique/fcloud65-35_D1.2_30,1.2,1,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,1,None,1,0.738,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
pratique/fcloud65-35_D1.9_29,1.9,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,None,None,None,10.441,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
pratique/fcloud_D1.4_30,1.4,0,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,1,space,1,2.285,5.67488506967,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
pratique/fcloud65-35_D1.6_30,1.6,1,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,None,None,None,11.596,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,14.2877661081,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud65-35_D1.7_2.tif,1.7,1,,,,,0,0,0,64,,,,,,,,,,,,,,,,,,,None,None,None,80.83,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1.4_2.tif,1.4,0,,,,,0,1,1,19,,,,,,,,,,,,,,,,,,,None,None,None,90.055,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1.2_3.tif,1.2,0,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,2,space,2,1.486,4.72185190117,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud65-35_D0.9_3.tif,0.9,1,,,,,0,3,3,41,,,,,,,,,,,,,,,,,,,None,None,None,10.878,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1.2_1.tif,1.2,2,,,,,0,4,4,84,,,,,,,,,,,,,,,,,,,None,None,None,19.835,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1.6_1.tif,1.6,2,,,,,0,5,5,96,,,,,,,,,,,,,,,,,,,None,None,None,28.696,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1.6_3.tif,1.6,2,,,,,0,6,6,98,,,,,,,,,,,,,,,,,,,1,space,1,1.488,4.74928507501,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud65-35_D0.8_1.tif,0.8,1,,,,,0,7,7,36,,,,,,,,,,,,,,,,,,,1,None,1,1.435,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1.3_2.tif,1.3,2,,,,,0,8,8,88,,,,,,,,,,,,,,,,,,,None,None,None,10.558,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1.1_2.tif,1.1,2,,,,,0,9,9,82,,,,,,,,,,,,,,,,,,,1,space,1,0.95,5.76223880114,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D0.9_3.tif,0.9,0,,,,,0,10,10,5,,,,,,,,,,,,,,,,,,,None,None,None,10.192,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1.1_1.tif,1.1,2,,,,,0,11,11,81,,,,,,,,,,,,,,,,,,,None,None,None,19.567,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1.4_1.tif,1.4,2,,,,,0,12,12,90,,,,,,,,,,,,,,,,,,,None,None,None,28.51,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1_3.tif,1.0,2,,,,,0,13,13,80,,,,,,,,,,,,,,,,,,,1,space,1,0.901,6.64687820805,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1.1_3.tif,1.1,0,,,,,0,14,14,11,,,,,,,,,,,,,,,,,,,1,space,3,2.083,2.28524979835,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1.3_1.tif,1.3,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,2,space,2,2.185,3.89008635646,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud65-35_D0.9_2.tif,0.9,1,,,,,0,16,16,40,,,,,,,,,,,,,,,,,,,None,None,None,11.425,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud65-35_D1.9_3.tif,1.9,1,,,,,0,17,17,71,,,,,,,,,,,,,,,,,,,None,None,None,20.017,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud65-35_D1.1_3.tif,1.1,1,,,,,0,18,18,47,,,,,,,,,,,,,,,,,,,None,None,None,28.677,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1.8_2.tif,1.8,0,,,,,0,19,19,31,,,,,,,,,,,,,,,,,,,None,None,None,37.091,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1.1_2.tif,1.1,0,,,,,0,20,20,10,,,,,,,,,,,,,,,,,,,None,None,None,45.561,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud65-35_D1.4_2.tif,1.4,1,,,,,0,21,21,55,,,,,,,,,,,,,,,,,,,1,space,1,0.784,6.60324657934,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1_3.tif,1.0,0,,,,,0,22,22,8,,,,,,,,,,,,,,,,,,,None,None,None,9.877,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D0.8_2.tif,0.8,2,,,,,0,23,23,73,,,,,,,,,,,,,,,,,,,1,space,1,0.753,5.52841219569,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud65-35_D1.9_1.tif,1.9,1,,,,,0,24,24,69,,,,,,,,,,,,,,,,,,,None,None,None,9.811,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud65-35_D1.8_2.tif,1.8,1,,,,,0,25,25,67,,,,,,,,,,,,,,,,,,,1,space,1,1.435,5.28518194282,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud65-35_D1.5_3.tif,1.5,1,,,,,0,26,26,59,,,,,,,,,,,,,,,,,,,None,None,None,11.06,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1.5_1.tif,1.5,2,,,,,0,27,27,93,,,,,,,,,,,,,,,,,,,None,None,None,20.552,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D0.9_3.tif,0.9,2,,,,,0,28,28,77,,,,,,,,,,,,,,,,,,,None,space,None,29.458,6.32924075301,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1.2_1.tif,1.2,0,,,,,0,29,29,12,,,,,,,,,,,,,,,,,,,1,space,1,1.201,8.00602166545,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1.4_1.tif,1.4,0,,,,,0,30,30,18,,,,,,,,,,,,,,,,,,,None,None,None,10.293,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1.4_3.tif,1.4,2,,,,,0,31,31,92,,,,,,,,,,,,,,,,,,,None,None,None,19.468,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1.8_1.tif,1.8,0,,,,,0,32,32,30,,,,,,,,,,,,,,,,,,,1,space,1,2.349,6.64352244296,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1.9_1.tif,1.9,2,,,,,0,33,33,105,,,,,,,,,,,,,,,,,,,1,None,2,2.916,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1_2.tif,1.0,0,,,,,0,34,34,7,,,,,,,,,,,,,,,,,,,None,None,None,11.364,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D0.8_1.tif,0.8,0,,,,,0,35,35,0,,,,,,,,,,,,,,,,,,,None,None,None,20.432,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1.7_3.tif,1.7,2,,,,,0,36,36,101,,,,,,,,,,,,,,,,,,,None,None,None,29.51,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1.9_3.tif,1.9,2,,,,,0,37,37,107,,,,,,,,,,,,,,,,,,,None,None,None,38.087,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1.7_3.tif,1.7,0,,,,,0,38,38,29,,,,,,,,,,,,,,,,,,,1,None,None,None,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud65-35_D0.9_1.tif,0.9,1,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,None,None,None,9.708,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1.3_3.tif,1.3,2,,,,,0,40,40,89,,,,,,,,,,,,,,,,,,,1,space,1,1.484,2.14043373059,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1.4_3.tif,1.4,0,,,,,0,41,41,20,,,,,,,,,,,,,,,,,,,1,space,2,1.304,7.06050298437,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud65-35_D1_1.tif,1.0,1,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,None,None,None,10.096,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud65-35_D1.2_1.tif,1.2,1,,,,,0,43,43,48,,,,,,,,,,,,,,,,,,,2,space,1,1.405,5.91078486759,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1.6_3.tif,1.6,0,,,,,0,44,44,26,,,,,,,,,,,,,,,,,,,1,space,1,0.953,6.05161442218,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1.7_1.tif,1.7,0,,,,,0,45,45,27,,,,,,,,,,,,,,,,,,,None,None,None,10.264,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1.9_2.tif,1.9,0,,,,,0,46,46,34,,,,,,,,,,,,,,,,,,,1,space,3,2.265,7.39778564742,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1.8_2.tif,1.8,2,,,,,0,47,47,103,,,,,,,,,,,,,,,,,,,None,None,None,11.225,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud65-35_D1_2.tif,1.0,1,,,,,0,48,48,43,,,,,,,,,,,,,,,,,,,None,None,None,19.987,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud_D1.7_2.tif,1.7,0,,,,,0,49,49,28,,,,,,,,,,,,,,,,,,,None,None,None,28.796,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1.1_3.tif,1.1,2,,,,,0,50,50,83,,,,,,,,,,,,,,,,,,,None,None,None,37.883,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud65-35_D1.6_1.tif,1.6,1,,,,,0,51,51,60,,,,,,,,,,,,,,,,,,,None,None,None,46.576,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1_1.tif,1.0,2,,,,,0,52,52,78,,,,,,,,,,,,,,,,,,,None,None,None,56.451,,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
images/fcloud80-20_D1.8_1.tif,1.8,2,,,,,0,53,53,102,,,,,,,,,,,,,,,,,,,1,space,2,2.782,6.24365692033,,,,,,,,,,,,,,,,,,2019_Feb_01_1646,60.07674395815525,Cloud_Experiment_FR_REAL,001,14,
