ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,reaction_time.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,14.2069090309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
,,,,,,,,,,,,,,,,,,,,,space,30.3095194646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
,,,,,,,,,,,,,,,,,,,,,,,space,15.0227860973,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
,,,,,,,,,,,,,,,,,,,,,,,,,8,218.176,,,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.31450941728,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
pratique/fcloud_D1.6_28,1.6,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,None,None,None,293.177,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
pratique/fcloud80-20_D1.5_30,1.5,2,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,None,None,None,302.421,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
pratique/fcloud65-35_D1.2_30,1.2,1,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,None,None,None,311.43,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
pratique/fcloud80-20_D1_30,1.0,2,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,None,None,None,320.336,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
pratique/fcloud65-35_D1.6_30,1.6,1,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,None,None,None,329.534,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
pratique/fcloud65-35_D1.9_29,1.9,1,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,None,None,None,341.171,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
pratique/fcloud_D1.4_30,1.4,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,None,None,None,350.335,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
pratique/fcloud65-35_D1.3_30,1.3,1,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,None,None,None,359.523,,,,,,,,,,,,,,,,,,,2019_Feb_10_1539,60.149189570012176,Cloud_Experiment_FR_REAL,001,18,
