ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,reaction_time.rt,vividness.response,vividness.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,88.6314441562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_10_1730,60.0743321386684,Cloud_Experiment_FR_REAL,001,19,
,,,,,,,,,,,,,,,,,,,,,space,39.1669107581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_10_1730,60.0743321386684,Cloud_Experiment_FR_REAL,001,19,
,,,,,,,,,,,,,,,,,,,,,,,space,88.8579829733,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_10_1730,60.0743321386684,Cloud_Experiment_FR_REAL,001,19,
,,,,,,,,,,,,,,,,,,,,,,,,,6,11.608,,,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_10_1730,60.0743321386684,Cloud_Experiment_FR_REAL,001,19,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.31443642115,,,,,,,,,,,,,,,,,,,,,,,2019_Feb_10_1730,60.0743321386684,Cloud_Experiment_FR_REAL,001,19,
pratique/fcloud80-20_D1.5_30,1.5,2,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,1,space,4.9654533033,3,8.763,,,,,,,,,,,,,,,,,,2019_Feb_10_1730,60.0743321386684,Cloud_Experiment_FR_REAL,001,19,
pratique/fcloud80-20_D1.8_30,1.8,2,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,1,space,11.7505635353,2,4.649,,,,,,,,,,,,,,,,,,2019_Feb_10_1730,60.0743321386684,Cloud_Experiment_FR_REAL,001,19,
pratique/fcloud65-35_D1.2_30,1.2,1,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,14.537,,,,,,,,,,,,,,,,,,2019_Feb_10_1730,60.0743321386684,Cloud_Experiment_FR_REAL,001,19,
pratique/fcloud65-35_D1.3_30,1.3,1,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,2,space,10.2198442509,3,5.614,,,,,,,,,,,,,,,,,,2019_Feb_10_1730,60.0743321386684,Cloud_Experiment_FR_REAL,001,19,
pratique/fcloud65-35_D1.9_29,1.9,1,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,1,space,5.93910016352,1,2.054,,,,,,,,,,,,,,,,,,2019_Feb_10_1730,60.0743321386684,Cloud_Experiment_FR_REAL,001,19,
pratique/fcloud65-35_D1.6_30,1.6,1,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,1,space,8.09261305013,3,2.066,,,,,,,,,,,,,,,,,,2019_Feb_10_1730,60.0743321386684,Cloud_Experiment_FR_REAL,001,19,
pratique/fcloud_D1.4_30,1.4,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,2,space,5.88514369703,2,2.837,,,,,,,,,,,,,,,,,,2019_Feb_10_1730,60.0743321386684,Cloud_Experiment_FR_REAL,001,19,
pratique/fcloud_D0.8_30,0.8,0,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,13.291,,,,,,,,,,,,,,,,,,2019_Feb_10_1730,60.0743321386684,Cloud_Experiment_FR_REAL,001,19,
