ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,35.3682566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
,,,,,,,,,,,,,,,,,,,,,space,139.8288152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
,,,,,,,,,,,,,,,,,,,,,,,space,107.9561339,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
,,,,,,,,,,,,,,,,,,,,,,,,,7,15.604,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.064277,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
pratique/fcloud65-35_D1.3_30,1.3,1,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,1,None,3,6.714,,,,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
pratique/fcloud_D1.6_28,1.6,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,1,space,4,5.198,20.3847587,,,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
pratique/fcloud_D0.8_30,0.8,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,1,None,3,3.417,,,,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
pratique/fcloud_D1.4_30,1.4,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,1,space,4,31.425,5.5346091,,,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
pratique/fcloud80-20_D1_30,1.0,2,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,1,space,2,3.267,2.5400645,,,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
pratique/fcloud80-20_D1.5_30,1.5,2,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,None,None,None,13.055,,,,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
pratique/fcloud80-20_D1.8_30,1.8,2,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,1,space,1,3.117,7.5926711,,,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
pratique/fcloud65-35_D1.2_30,1.2,1,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,1,None,2,1.901,,,,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
pratique/fcloud65-35_D1.6_30,1.6,1,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,1,space,1,1.001,11.1513721,,,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
pratique/fcloud65-35_D1.9_29,1.9,1,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,1,None,1,1.202,,,,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,2019_Mar_15_1801,59.610670786920174,Cloud_Experiment_FR_REAL,001,26,
