ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,reaction_time.rt,vividness.response,vividness.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,14.8204478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_28_1706,60.66705855577804,Cloud_Experiment_FR_REAL,001,30,
,,,,,,,,,,,,,,,,,,,,,space,33.0722485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_28_1706,60.66705855577804,Cloud_Experiment_FR_REAL,001,30,
,,,,,,,,,,,,,,,,,,,,,,,space,8.57605670008,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_28_1706,60.66705855577804,Cloud_Experiment_FR_REAL,001,30,
,,,,,,,,,,,,,,,,,,,,,,,,,7,10.157,,,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_28_1706,60.66705855577804,Cloud_Experiment_FR_REAL,001,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.19879559998,,,,,,,,,,,,,,,,,,,,,,,2019_Mar_28_1706,60.66705855577804,Cloud_Experiment_FR_REAL,001,30,
pratique/fcloud80-20_D1.5_30,1.5,2,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,1,space,4.73670819995,1,5.752,,,,,,,,,,,,,,,,,,2019_Mar_28_1706,60.66705855577804,Cloud_Experiment_FR_REAL,001,30,
pratique/fcloud_D1.6_28,1.6,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,17.72,,,,,,,,,,,,,,,,,,2019_Mar_28_1706,60.66705855577804,Cloud_Experiment_FR_REAL,001,30,
pratique/fcloud80-20_D1.8_30,1.8,2,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,1,space,6.75479539996,1,1.767,,,,,,,,,,,,,,,,,,2019_Mar_28_1706,60.66705855577804,Cloud_Experiment_FR_REAL,001,30,
pratique/fcloud_D1.4_30,1.4,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,1,space,7.47576070006,2,3.333,,,,,,,,,,,,,,,,,,2019_Mar_28_1706,60.66705855577804,Cloud_Experiment_FR_REAL,001,30,
pratique/fcloud65-35_D1.6_30,1.6,1,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,12.661,,,,,,,,,,,,,,,,,,2019_Mar_28_1706,60.66705855577804,Cloud_Experiment_FR_REAL,001,30,
