ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,29.4784811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_11_1313,60.06139476024146,Cloud_Experiment_FR_REAL,001,33,
,,,,,,,,,,,,,,,,,,,,,space,45.8774781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_11_1313,60.06139476024146,Cloud_Experiment_FR_REAL,001,33,
,,,,,,,,,,,,,,,,,,,,,,,space,167.5848793,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_11_1313,60.06139476024146,Cloud_Experiment_FR_REAL,001,33,
,,,,,,,,,,,,,,,,,,,,,,,,,8,18.203,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_11_1313,60.06139476024146,Cloud_Experiment_FR_REAL,001,33,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.4824869,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_11_1313,60.06139476024146,Cloud_Experiment_FR_REAL,001,33,
pratique/fcloud65-35_D1.6_30,1.6,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,None,None,None,280.445,,,,,,,,,,,,,,,,,,,2019_Apr_11_1313,60.06139476024146,Cloud_Experiment_FR_REAL,001,33,
pratique/fcloud_D1.6_28,1.6,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,1,space,1,3.098,4.59682410001,,,,,,,,,,,,,,,,,,2019_Apr_11_1313,60.06139476024146,Cloud_Experiment_FR_REAL,001,33,
pratique/fcloud65-35_D1.9_29,1.9,1,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,None,None,None,13.723,,,,,,,,,,,,,,,,,,,2019_Apr_11_1313,60.06139476024146,Cloud_Experiment_FR_REAL,001,33,
pratique/fcloud65-35_D1.3_30,1.3,1,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,None,None,None,25.614,,,,,,,,,,,,,,,,,,,2019_Apr_11_1313,60.06139476024146,Cloud_Experiment_FR_REAL,001,33,
pratique/fcloud80-20_D1.5_30,1.5,2,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,None,None,None,37.088,,,,,,,,,,,,,,,,,,,2019_Apr_11_1313,60.06139476024146,Cloud_Experiment_FR_REAL,001,33,
pratique/fcloud_D1.4_30,1.4,0,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,None,None,None,49.792,,,,,,,,,,,,,,,,,,,2019_Apr_11_1313,60.06139476024146,Cloud_Experiment_FR_REAL,001,33,
pratique/fcloud80-20_D1.8_30,1.8,2,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,None,None,None,62.782,,,,,,,,,,,,,,,,,,,2019_Apr_11_1313,60.06139476024146,Cloud_Experiment_FR_REAL,001,33,
