ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,reaction_time.rt,vividness.response,vividness.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,13.7080151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
,,,,,,,,,,,,,,,,,,,,,space,102.3790634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
,,,,,,,,,,,,,,,,,,,,,,,space,66.2418921,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
,,,,,,,,,,,,,,,,,,,,,,,,,8,22.531,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.76378500002,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
pratique/fcloud65-35_D1.6_30,1.6,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,1,space,3.54511219999,2,14.74,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
pratique/fcloud_D1.6_28,1.6,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,1,space,2.57859409999,4,3.816,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
pratique/fcloud80-20_D1.5_30,1.5,2,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,13.576,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
pratique/fcloud_D1.4_30,1.4,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,2,space,5.71814090002,1,1.552,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
pratique/fcloud65-35_D1.2_30,1.2,1,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,1,space,2.42304739999,2,3.116,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
pratique/fcloud65-35_D1.3_30,1.3,1,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,12.791,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
pratique/fcloud_D0.8_30,0.8,0,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,22.683,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
pratique/fcloud65-35_D1.9_29,1.9,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,42.933,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
pratique/fcloud80-20_D1.8_30,1.8,2,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,None,None,,None,68.959,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
pratique/fcloud80-20_D1_30,1.0,2,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,1,space,8.1970322,1,1.7,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.8456877,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud80-20_D1.4_1.tif,1.4,2,,,,,0,0,0,90,,,,,,,,,,,,,,,,,,,2,space,2.9151556,3,6.596,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud_D1_3.tif,1.0,0,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,2,space,2.3287594,4,4.7,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud_D1.2_2.tif,1.2,0,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,1,space,5.8189286,2,2.851,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud_D1.1_3.tif,1.1,0,,,,,0,3,3,11,,,,,,,,,,,,,,,,,,,None,None,,None,12.69,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud80-20_D1.2_1.tif,1.2,2,,,,,0,4,4,84,,,,,,,,,,,,,,,,,,,None,None,,None,22.548,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud_D1.4_1.tif,1.4,0,,,,,0,5,5,18,,,,,,,,,,,,,,,,,,,1,space,3.8420495,1,2.918,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud65-35_D1_3.tif,1.0,1,,,,,0,6,6,44,,,,,,,,,,,,,,,,,,,None,None,,None,12.257,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud_D1.3_1.tif,1.3,0,,,,,0,7,7,15,,,,,,,,,,,,,,,,,,,None,None,,None,23.615,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud65-35_D0.8_1.tif,0.8,1,,,,,0,8,8,36,,,,,,,,,,,,,,,,,,,1,space,3.6476812,3,0.636,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud_D1.6_2.tif,1.6,0,,,,,0,9,9,25,,,,,,,,,,,,,,,,,,,1,space,5.33167079999,2,1.833,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud80-20_D1.7_1.tif,1.7,2,,,,,0,10,10,99,,,,,,,,,,,,,,,,,,,None,None,,None,11.575,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud80-20_D1.3_3.tif,1.3,2,,,,,0,11,11,89,,,,,,,,,,,,,,,,,,,None,None,,None,21.333,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud65-35_D1.8_3.tif,1.8,1,,,,,0,12,12,68,,,,,,,,,,,,,,,,,,,1,None,,1,0.718,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud80-20_D1.9_3.tif,1.9,2,,,,,0,13,13,107,,,,,,,,,,,,,,,,,,,1,None,,1,10.626,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud65-35_D1.6_3.tif,1.6,1,,,,,0,14,14,62,,,,,,,,,,,,,,,,,,,1,space,4.96378809999,2,2.799,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud_D0.9_3.tif,0.9,0,,,,,0,15,15,5,,,,,,,,,,,,,,,,,,,1,space,4.86092439998,2,0.685,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud_D0.8_2.tif,0.8,0,,,,,0,16,16,1,,,,,,,,,,,,,,,,,,,2,space,1.8894023,4,1.768,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud80-20_D1.6_3.tif,1.6,2,,,,,0,17,17,98,,,,,,,,,,,,,,,,,,,1,space,5.99167600001,2,0.57,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud80-20_D1.5_3.tif,1.5,2,,,,,0,18,18,95,,,,,,,,,,,,,,,,,,,1,space,5.75904889998,2,0.617,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud65-35_D1.9_2.tif,1.9,1,,,,,0,19,19,70,,,,,,,,,,,,,,,,,,,1,space,6.69382090002,2,1.434,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud65-35_D0.9_2.tif,0.9,1,,,,,0,20,20,40,,,,,,,,,,,,,,,,,,,1,space,7.80810650002,1,2.134,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud80-20_D1.1_2.tif,1.1,2,,,,,0,21,21,82,,,,,,,,,,,,,,,,,,,1,space,6.83778559999,2,0.984,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud80-20_D1.3_1.tif,1.3,2,,,,,0,22,22,87,,,,,,,,,,,,,,,,,,,None,None,,None,10.543,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud80-20_D0.8_2.tif,0.8,2,,,,,0,23,23,73,,,,,,,,,,,,,,,,,,,None,None,,None,20.082,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud_D0.9_2.tif,0.9,0,,,,,0,24,24,4,,,,,,,,,,,,,,,,,,,1,space,3.36196380001,3,0.92,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud_D1.5_1.tif,1.5,0,,,,,0,25,25,21,,,,,,,,,,,,,,,,,,,None,None,,None,10.325,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud_D1.1_1.tif,1.1,0,,,,,0,26,26,9,,,,,,,,,,,,,,,,,,,1,space,6.65781419998,2,4.264,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud_D1.1_2.tif,1.1,0,,,,,0,27,27,10,,,,,,,,,,,,,,,,,,,None,None,,None,14.571,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
images/fcloud_D1.2_3.tif,1.2,0,,,,,0,28,28,14,,,,,,,,,,,,,,,,,,,None,None,,None,23.817,,,,,,,,,,,,,,,,,,2019_Apr_11_1611,61.11050000679343,Cloud_Experiment_FR_REAL,001,35,
