ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,,,,,,space,31.7187738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
,,,,,,,,,,,,,,,,,,,,,space,20.0479005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
,,,,,,,,,,,,,,,,,,,,,,,space,8.9433246,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
,,,,,,,,,,,,,,,,,,,,,,,,,1,129.421,,,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.3940898,,,,,,,,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
pratique/fcloud_D1.6_28,1.6,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,1,None,5,16.455,,,,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
pratique/fcloud_D0.8_30,0.8,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,1,None,3,7.098,,,,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
pratique/fcloud65-35_D1.6_30,1.6,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,1,None,1,5.216,,,,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
pratique/fcloud80-20_D1.8_30,1.8,2,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,1,None,1,2.083,,,,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
pratique/fcloud65-35_D1.9_29,1.9,1,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,1,None,1,3.664,,,,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
pratique/fcloud80-20_D1_30,1,2,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,1,space,3,2.683,4.1432901,,,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
pratique/fcloud65-35_D1.2_30,1.2,1,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,None,None,None,12.639,,,,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
pratique/fcloud80-20_D1.5_30,1.5,2,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,1,None,1,3.515,,,,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
pratique/fcloud_D1.4_30,1.4,0,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,None,None,None,14.34,,,,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
pratique/fcloud65-35_D1.3_30,1.3,1,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,None,None,None,23.715,,,,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2019_Apr_12_1610,60.45872452,Cloud_Experiment_FR_REAL,1,37
