ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,reaction_time.rt,vividness.response,vividness.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,495.6848323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_18_1902,60.97155737820093,Cloud_Experiment_FR_REAL,001,47,
,,,,,,,,,,,,,,,,,,,,,space,73.7063186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_18_1902,60.97155737820093,Cloud_Experiment_FR_REAL,001,47,
,,,,,,,,,,,,,,,,,,,,,,,space,57.70032,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_18_1902,60.97155737820093,Cloud_Experiment_FR_REAL,001,47,
,,,,,,,,,,,,,,,,,,,,,,,,,5,15.768,,,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_18_1902,60.97155737820093,Cloud_Experiment_FR_REAL,001,47,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.88226429999,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_18_1902,60.97155737820093,Cloud_Experiment_FR_REAL,001,47,
pratique/fcloud80-20_D1.5_30,1.5,2,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,1,space,4.0462944,4,5.331,,,,,,,,,,,,,,,,,,2019_Sep_18_1902,60.97155737820093,Cloud_Experiment_FR_REAL,001,47,
pratique/fcloud_D1.6_28,1.6,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,3,space,2.79039140001,2,4.699,,,,,,,,,,,,,,,,,,2019_Sep_18_1902,60.97155737820093,Cloud_Experiment_FR_REAL,001,47,
pratique/fcloud65-35_D1.9_29,1.9,1,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,2,None,,4,8.847,,,,,,,,,,,,,,,,,,2019_Sep_18_1902,60.97155737820093,Cloud_Experiment_FR_REAL,001,47,
pratique/fcloud80-20_D1_30,1.0,2,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,2,None,,2,3.5,,,,,,,,,,,,,,,,,,2019_Sep_18_1902,60.97155737820093,Cloud_Experiment_FR_REAL,001,47,
pratique/fcloud_D0.8_30,0.8,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,2,space,4.13472620001,4,1.952,,,,,,,,,,,,,,,,,,2019_Sep_18_1902,60.97155737820093,Cloud_Experiment_FR_REAL,001,47,
pratique/fcloud65-35_D1.3_30,1.3,1,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,1,None,,4,2.401,,,,,,,,,,,,,,,,,,2019_Sep_18_1902,60.97155737820093,Cloud_Experiment_FR_REAL,001,47,
pratique/fcloud65-35_D1.2_30,1.2,1,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,1,space,5.6224547,1,1.085,,,,,,,,,,,,,,,,,,2019_Sep_18_1902,60.97155737820093,Cloud_Experiment_FR_REAL,001,47,
pratique/fcloud65-35_D1.6_30,1.6,1,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,2,None,,4,1.502,,,,,,,,,,,,,,,,,,2019_Sep_18_1902,60.97155737820093,Cloud_Experiment_FR_REAL,001,47,
pratique/fcloud_D1.4_30,1.4,0,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,3,None,,3,1.168,,,,,,,,,,,,,,,,,,2019_Sep_18_1902,60.97155737820093,Cloud_Experiment_FR_REAL,001,47,
pratique/fcloud80-20_D1.8_30,1.8,2,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,1,space,3.25279249999,2,0.969,,,,,,,,,,,,,,,,,,2019_Sep_18_1902,60.97155737820093,Cloud_Experiment_FR_REAL,001,47,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,2019_Sep_18_1902,60.97155737820093,Cloud_Experiment_FR_REAL,001,47,
