ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,8.8866799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
,,,,,,,,,,,,,,,,,,,,,space,54.6348581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
,,,,,,,,,,,,,,,,,,,,,,,space,149.8222128,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
,,,,,,,,,,,,,,,,,,,,,,,,,7,18.496,,,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.4471093,,,,,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
pratique/fcloud_D1.4_30,1.4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,1,None,1,9.178,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
pratique/fcloud65-35_D1.6_30,1.6,1,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,1,space,5,1.734,2.9634252,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
pratique/fcloud80-20_D1.5_30,1.5,2,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,None,None,None,14.572,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
pratique/fcloud65-35_D1.2_30,1.2,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,1,None,3,5.216,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
pratique/fcloud65-35_D1.9_29,1.9,1,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,None,None,None,15.038,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
pratique/fcloud80-20_D1_30,1.0,2,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,1,space,3,4.265,4.4396626,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
pratique/fcloud80-20_D1.8_30,1.8,2,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,None,None,None,13.689,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
pratique/fcloud65-35_D1.3_30,1.3,1,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,1,None,2,2.1,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
pratique/fcloud_D1.6_28,1.6,0,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,1,space,4,2.267,3.2338494,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
pratique/fcloud_D0.8_30,0.8,0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,None,None,None,13.123,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.0502312,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
images/fcloud_D1_2.tif,1.0,0,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,2,space,4,5.232,3.6954043,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
images/fcloud_D1.6_1.tif,1.6,0,,,,,0,1,1,24,,,,,,,,,,,,,,,,,,,None,None,None,14.838,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
images/fcloud80-20_D0.8_1.tif,0.8,2,,,,,0,2,2,72,,,,,,,,,,,,,,,,,,,None,None,None,24.762,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
images/fcloud80-20_D1.5_3.tif,1.5,2,,,,,0,3,3,95,,,,,,,,,,,,,,,,,,,None,None,None,34.439,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
images/fcloud_D1.9_3.tif,1.9,0,,,,,0,4,4,35,,,,,,,,,,,,,,,,,,,2,space,3,3.016,7.7498961,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
images/fcloud_D1.9_1.tif,1.9,0,,,,,0,5,5,33,,,,,,,,,,,,,,,,,,,None,None,None,14.105,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
images/fcloud80-20_D1.1_1.tif,1.1,2,,,,,0,6,6,81,,,,,,,,,,,,,,,,,,,None,space,None,23.664,7.7238907,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
images/fcloud80-20_D1.3_3.tif,1.3,2,,,,,0,7,7,89,,,,,,,,,,,,,,,,,,,None,None,None,33.174,,,,,,,,,,,,,,,,,,,2019_Sep_23_1424,59.89767081917178,Cloud_Experiment_FR_REAL,001,49,
